1,Linda Howard
2,Stephanie Meyer
3,Dan Brown
4,Jane Austen
5,Jk Rowling
6,Paulo Coelho
7,Christopher Paolini
8,J.R.R. Tolkien
9,William Shakespeare
10,Charles Dickens
